"LSOA_code","LSOA_name","Local_authority_district_code","Local_authority_district_name","IMD_score","IMD_rank"
"E01008054","Sheffield 007B","E08000019","Sheffield",48.446,2520
"E01008055","Sheffield 007C","E08000019","Sheffield",49.763,2268
"E01008057","Sheffield 007D","E08000019","Sheffield",43.652,3506
"E01008126","Sheffield 008A","E08000019","Sheffield",5.38,29905
"E01008128","Sheffield 008C","E08000019","Sheffield",14.099,19529
"E01008136","Sheffield 008D","E08000019","Sheffield",20.619,13747
"E01008140","Sheffield 008E","E08000019","Sheffield",13.498,20170
"E01033275","Sheffield 008F","E08000019","Sheffield",10.596,23497
"E01033280","Sheffield 008G","E08000019","Sheffield",11.457,22445
"E01008085","Sheffield 009A","E08000019","Sheffield",49.398,2324
"E01008086","Sheffield 009B","E08000019","Sheffield",51.038,2049
"E01008116","Sheffield 009C","E08000019","Sheffield",58.273,1093
"E01008117","Sheffield 009D","E08000019","Sheffield",58.962,1022
"E01008118","Sheffield 009E","E08000019","Sheffield",54.938,1473
"E01008119","Sheffield 009F","E08000019","Sheffield",64.709,556
"E01008125","Sheffield 009G","E08000019","Sheffield",36.308,5661
"E01007849","Sheffield 010A","E08000019","Sheffield",41.378,4103
"E01007857","Sheffield 010B","E08000019","Sheffield",46.621,2861
"E01008059","Sheffield 010C","E08000019","Sheffield",56.184,1318
"E01008060","Sheffield 010D","E08000019","Sheffield",54.165,1577
"E01008061","Sheffield 011A","E08000019","Sheffield",45.645,3046
"E01008063","Sheffield 011B","E08000019","Sheffield",30.941,7782
"E01033277","Sheffield 011E","E08000019","Sheffield",68.317,352
"E01008087","Sheffield 012A","E08000019","Sheffield",13.332,20338
"E01008088","Sheffield 012B","E08000019","Sheffield",23.113,11971
"E01008090","Sheffield 012C","E08000019","Sheffield",58.799,1034
"E01008092","Sheffield 012D","E08000019","Sheffield",61.151,824
"E01008122","Sheffield 012E","E08000019","Sheffield",70.155,265
"E01008124","Sheffield 012F","E08000019","Sheffield",63.982,612
"E01007848","Sheffield 013A","E08000019","Sheffield",64.317,583
"E01007851","Sheffield 013B","E08000019","Sheffield",50.004,2218
"E01007947","Sheffield 013C","E08000019","Sheffield",67.749,380
"E01007948","Sheffield 013D","E08000019","Sheffield",54.378,1549
"E01008062","Sheffield 013E","E08000019","Sheffield",61.202,817
"E01007847","Sheffield 014A","E08000019","Sheffield",42.52,3775
"E01007850","Sheffield 014B","E08000019","Sheffield",21.094,13388
"E01007852","Sheffield 014C","E08000019","Sheffield",22.14,12648
"E01007853","Sheffield 014D","E08000019","Sheffield",21.046,13429
"E01007854","Sheffield 014E","E08000019","Sheffield",35.225,6053
"E01007855","Sheffield 014F","E08000019","Sheffield",37.477,5301
"E01007941","Sheffield 015A","E08000019","Sheffield",46.361,2905
"E01007945","Sheffield 015B","E08000019","Sheffield",53.131,1707
"E01007946","Sheffield 015C","E08000019","Sheffield",59.536,963
"E01007950","Sheffield 015D","E08000019","Sheffield",40.675,4318
"E01008123","Sheffield 015E","E08000019","Sheffield",53.229,1699
"E01007987","Sheffield 016A","E08000019","Sheffield",9.325,25049
"E01007988","Sheffield 016B","E08000019","Sheffield",10.159,24006
"E01007989","Sheffield 016C","E08000019","Sheffield",13.618,20027
"E01007991","Sheffield 016D","E08000019","Sheffield",28.321,9004
"E01007995","Sheffield 017A","E08000019","Sheffield",22.888,12130
"E01008089","Sheffield 017B","E08000019","Sheffield",42.142,3875
"E01008091","Sheffield 017C","E08000019","Sheffield",20.77,13646
"E01008093","Sheffield 017D","E08000019","Sheffield",26.828,9813
"E01007903","Sheffield 018A","E08000019","Sheffield",30.196,8153
"E01007904","Sheffield 018B","E08000019","Sheffield",64.762,553
"E01007913","Sheffield 018C","E08000019","Sheffield",50.399,2158
"E01007914","Sheffield 018D","E08000019","Sheffield",45.73,3025
"E01007870","Sheffield 019A","E08000019","Sheffield",49.12,2389
"E01007871","Sheffield 019B","E08000019","Sheffield",38.569,4932
"E01007943","Sheffield 019C","E08000019","Sheffield",62.005,756
"E01008094","Sheffield 019D","E08000019","Sheffield",44.58,3282
"E01007869","Sheffield 020A","E08000019","Sheffield",46.41,2898
"E01007872","Sheffield 020B","E08000019","Sheffield",34.105,6491
"E01007873","Sheffield 020C","E08000019","Sheffield",53.493,1664
"E01007942","Sheffield 020D","E08000019","Sheffield",44.35,3337
"E01007949","Sheffield 020E","E08000019","Sheffield",46.892,2802
"E01007990","Sheffield 021A","E08000019","Sheffield",20.94,13513
"E01007992","Sheffield 021B","E08000019","Sheffield",13.407,20256
"E01007993","Sheffield 021C","E08000019","Sheffield",28.529,8904
"E01007994","Sheffield 021D","E08000019","Sheffield",9.617,24688
"E01007996","Sheffield 021E","E08000019","Sheffield",18.339,15591
"E01007874","Sheffield 022A","E08000019","Sheffield",56.149,1328
"E01007875","Sheffield 022B","E08000019","Sheffield",67.497,397
"E01007877","Sheffield 022D","E08000019","Sheffield",52.935,1740
"E01007940","Sheffield 022E","E08000019","Sheffield",59.215,990
"E01007944","Sheffield 022F","E08000019","Sheffield",59.672,950
"E01033269","Sheffield 022G","E08000019","Sheffield",66.566,447
"E01033270","Sheffield 022H","E08000019","Sheffield",37.959,5152
"E01008129","Sheffield 023A","E08000019","Sheffield",17.067,16700
"E01008130","Sheffield 023B","E08000019","Sheffield",10.012,24207
"E01008131","Sheffield 023C","E08000019","Sheffield",9.638,24655
"E01008132","Sheffield 023D","E08000019","Sheffield",2.599,32352
"E01008133","Sheffield 023E","E08000019","Sheffield",12.024,21774
"E01008151","Sheffield 024A","E08000019","Sheffield",15.195,18438
"E01008153","Sheffield 024B","E08000019","Sheffield",17.581,16257
"E01008154","Sheffield 024C","E08000019","Sheffield",15.188,18451
"E01008155","Sheffield 024D","E08000019","Sheffield",23.031,12022
