"LSOA11CD","LSOA11NM","WD17CD","WD17NM","WD17NMW","LAD17CD","LAD17NM","FID","LSOA name.x"
"E01011309","Leeds 030C","E05001426","Harewood",NA,"E08000035","Leeds",11129,"Leeds 030C"
"E01011341","Leeds 061A","E05001441","Temple Newsam",NA,"E08000035","Leeds",10870,"Leeds 061A"
"E01011343","Leeds 061B","E05001430","Killingbeck and Seacroft",NA,"E08000035","Leeds",10872,"Leeds 061B"
"E01011467","Leeds 112A","E05001420","City and Hunslet",NA,"E08000035","Leeds",11188,"Leeds 112A"
"E01011468","Leeds 112B","E05001420","City and Hunslet",NA,"E08000035","Leeds",11189,"Leeds 112B"
"E01011617","Leeds 070B","E05001417","Burmantofts and Richmond Hill",NA,"E08000035","Leeds",11376,"Leeds 070B"
"E01011621","Leeds 070D","E05001441","Temple Newsam",NA,"E08000035","Leeds",11379,"Leeds 070D"
"E01011622","Leeds 072C","E05001441","Temple Newsam",NA,"E08000035","Leeds",11380,"Leeds 072C"
"E01011665","Leeds 050C","E05001430","Killingbeck and Seacroft",NA,"E08000035","Leeds",11471,"Leeds 050C"
"E01011667","Leeds 050D","E05001430","Killingbeck and Seacroft",NA,"E08000035","Leeds",11473,"Leeds 050D"
"E01011695","Leeds 019D","E05001442","Weetwood",NA,"E08000035","Leeds",11493,"Leeds 019D"
"E01011697","Leeds 002A","E05001443","Wetherby",NA,"E08000035","Leeds",11495,"Leeds 002A"
"E01011712","Leeds 005E","E05001443","Wetherby",NA,"E08000035","Leeds",11560,"Leeds 005E"
"E01011715","Leeds 022C","E05001426","Harewood",NA,"E08000035","Leeds",11563,"Leeds 022C"
"E01011721","Leeds 041A","E05001421","Cross Gates and Whinmoor",NA,"E08000035","Leeds",11569,"Leeds 041A"
"E01011722","Leeds 041B","E05001421","Cross Gates and Whinmoor",NA,"E08000035","Leeds",11570,"Leeds 041B"
"E01011723","Leeds 041C","E05001421","Cross Gates and Whinmoor",NA,"E08000035","Leeds",11571,"Leeds 041C"
"E01011724","Leeds 041D","E05001421","Cross Gates and Whinmoor",NA,"E08000035","Leeds",11572,"Leeds 041D"
"E01011760","Wakefield 002D","E05001447","Castleford Central and Glasshoughton",NA,"E08000036","Wakefield",11208,"Wakefield 002D"
"E01011784","Wakefield 040C","E05001450","Hemsworth",NA,"E08000036","Wakefield",11232,"Wakefield 040C"
"E01011789","Wakefield 039B","E05001450","Hemsworth",NA,"E08000036","Wakefield",11237,"Wakefield 039B"
"E01011792","Wakefield 039D","E05001450","Hemsworth",NA,"E08000036","Wakefield",11240,"Wakefield 039D"
"E01011801","Wakefield 031C","E05001451","Horbury and South Ossett",NA,"E08000036","Wakefield",11249,"Wakefield 031C"
"E01011856","Wakefield 041C","E05001444","Ackworth, North Elmsall and Upton",NA,"E08000036","Wakefield",11404,"Wakefield 041C"
